club,id,createdAt,favorites,retweets,text
Taylor Swift,1438854975485059077,2021-09-17 13:18:53+00:00,521610,115905,"Hi! Saw you guys got Wildest Dreams trending on tiktok, thought you should have my version 😘😘😘😘  https://t.co/dZSBbSCcxV https://t.co/MecFvUPNJb"
Taylor Swift,1434358271004094466,2021-09-05 03:30:35+00:00,179136,14005,"What a beautiful moment, CONGRATULATIONS ANITA!! 🥲🥲👏👏 https://t.co/oUTjh8lGND"
Taylor Swift,1432029787107774465,2021-08-29 17:18:01+00:00,243187,35126,"I’m blown away by @halsey’s artistry and commitment to taking risks. Giving us all a brave new era to dive into and explore together. If I can’t have love, I want power is out now- please stream and buy the album!! https://t.co/ZZXXLuh1D7"
Taylor Swift,1431302774277480454,2021-08-27 17:09:08+00:00,141465,18130,My buddy @aaron_dessner got us all together to make “how long do you think it’s gonna last?” and it would be very smile-inducing for us if you checked it out. 😘 @BRMadjv   https://t.co/HRJRqFAMPD https://t.co/kzjgJ2bts7
Taylor Swift,1429827296060391432,2021-08-23 15:26:06+00:00,194049,31391,Red (my version) vinyl is up for presale on my site and oh I’m on tiktok now let the games begin 😺 #SwiftTok   https://t.co/qyzr8cv3KS
Taylor Swift,1423645698868891648,2021-08-06 14:02:39+00:00,349796,69841,"Congrats pals, you guessed the titles and ft. artists on Red (my version). The vault tracks will ft. @ChrisStapleton, @phoebe_bridgers, @mistersmims &amp; @edsheeran❗️I can’t wait to dust off our highest hopes &amp; relive these memories together. Pre-order now https://t.co/5VduTiOaKB https://t.co/3BjCzI7Wag"
Taylor Swift,1423318726749802496,2021-08-05 16:23:23+00:00,363523,39309,Your next clue will be in the spot where you hear red…
Taylor Swift,1423283014604185607,2021-08-05 14:01:28+00:00,386501,70271,*presses post* *cackles maniacally*  Level: casually cruel in the name of being honest https://t.co/Tf0ahCMql8
Taylor Swift,1422692337499660290,2021-08-03 22:54:20+00:00,425576,39559,"I cried watching YOU. I feel so lucky to have gotten to watch you all these years, but this week was a lesson in emotional intelligence and resilience. We all learned from you. Thank you. https://t.co/VQxyeEf0mJ"
Taylor Swift,1421897870559612929,2021-08-01 18:17:24+00:00,849988,184459,It’s august 🥰
Taylor Swift,1418919884994584576,2021-07-24 13:03:57+00:00,377228,73648,It’s been 1 year since we escaped the real world together and imagined ourselves someplace simpler. With tall trees &amp; salt air. Where you can wear lace nightgowns that make you look like a Victorian ghost &amp; no one will side eye you cause no one is around https://t.co/4Gfmh9hXDs https://t.co/MmsujVaV83
Taylor Swift,1411038296071827462,2021-07-02 19:05:20+00:00,183525,25728,You wouldn’t be the first renegade to need somebody 🌹   Collage by Graham Tolbert Photo by James Reynolds https://t.co/nVcvyiubyX
Taylor Swift,1410813373307105281,2021-07-02 04:11:34+00:00,180885,36792,"When @Aaron_Dessner came into my life, I was ushered into his world of free-flowing creativity where you don’t overthink, you just make music. A song we wrote for his project @BRMadjv (which also features ⚡️Justin Vernon✨) is out! It’s called Renegade. https://t.co/qisY2CQ0bJ https://t.co/PzTMNyskDS"
Taylor Swift,1408413919094489093,2021-06-25 13:17:00+00:00,199493,22392,Ed has a new song out and I legitimately cannot get it out of my head! And this VIDEO!! Stream/Buy/Support/bop to it uncontrollably all summer #BadHabits https://t.co/UFBBTsHRlD
Taylor Swift,1406676486459772928,2021-06-20 18:13:03+00:00,480039,45534,"Happy Father’s Day to all the dads but mostly mine, who called me yesterday to remind me he still has guitar picks from the Red Tour, ‘if they’re needed’."
Taylor Swift,1405946647092371464,2021-06-18 17:52:56+00:00,719477,195229,"The next album that I’ll be releasing is my version of Red, which will be out on November 19. This will be the first time you hear all 30 songs that were meant to go on Red. And hey, one of them is even ten minutes long🧣 https://t.co/FOBLS5aHpS https://t.co/6zWa64Owgp"
Taylor Swift,1402779122540199944,2021-06-10 00:06:19+00:00,254786,27741,I LOVE YOU MOM https://t.co/hmLe8ZRTjm
Taylor Swift,1401650471060787203,2021-06-06 21:21:28+00:00,285366,33335,"This one hit me hard. I’m so in my feelings (more so than usual!) over what you all did here for evermore. Blown away by how much you care, and how long we’ve been caring about each other. ♥️♥️♥️♥️ Love you, so very much. https://t.co/E920qQg9vc"
Taylor Swift,1400423350229417988,2021-06-03 12:05:19+00:00,246653,34459,"You guys went and did the nicest thing this week and broke the record for biggest vinyl sales week.. like ever? NOW WE DAHNCE. The willow (90’s trend remix) is a thank you from me, available today only on my site 🥰 https://t.co/zSHpnhUlLb https://t.co/susqoeHS4B"
Taylor Swift,1400228426951413769,2021-06-02 23:10:46+00:00,162959,17919,evermore is lonely at the store and wants you to take her home 🥺 https://t.co/OBQveGJMwy
Taylor Swift,1399755907928571909,2021-06-01 15:53:09+00:00,361478,67804,🌈 https://t.co/4PUvHV2Rl0
Taylor Swift,1398248516410130433,2021-05-28 12:03:19+00:00,309464,42589,"*Clover blooms in the fields/spring breaks loose/the time is near...* EVERMORE ALBUM VINYL IS OUT TODAY!! You can get it at your fav indie record store, Target, Walmart &amp; Amazon ✨ and if you’re feeling even more generous, go ahead and stream it too! That would be cool! https://t.co/Xd1LWNAjB5"
Taylor Swift,1392577233546530816,2021-05-12 20:27:39+00:00,303918,36661,I got a list of names and yours is in... glittery gel pen with hearts drawn around it 😇 @Maisie_Williams @wiffygriffy @Olivia_Rodrigo https://t.co/EgT50dBa7n
Taylor Swift,1392258056080302090,2021-05-11 23:19:22+00:00,356290,42203,We meet up every Tuesday night for dinner and a glass of wine 🍷 https://t.co/HT8yj2oJL7
Taylor Swift,1392198404911030273,2021-05-11 19:22:20+00:00,578837,96451,"Spinning in my highest heels, luv  #BRITs https://t.co/1TMBoCZ6Do"
Taylor Swift,1384251457793261569,2021-04-19 21:04:00+00:00,178101,18647,CONGRATS @lanawilson 😇😇😇 !!! And a million hugs to the fans who made this happen! https://t.co/YMRWLZTWaa
Taylor Swift,1383881320640630790,2021-04-18 20:33:12+00:00,366674,41944,Been in the studio all day recording the next one - it’s really so amazing what you all have done here. 🙏🙏🙏 https://t.co/rxa5njMn0z
Taylor Swift,1383138600364224519,2021-04-16 19:21:54+00:00,199885,18902,Home is where the 💛 is  but God I 💛 the UK!!! https://t.co/OiPahpxcLK
Taylor Swift,1383095705326252042,2021-04-16 16:31:27+00:00,333360,40230,WELL WELL WELL you all really went out and left my greatest expectations in shambles this week.😆 Word on the street is you made Fearless (my version) the biggest country album 1st week of the last 6 years &amp; the top release of 2021 so far. Honestly?? How?? Did I get this lucky??
Taylor Swift,1382009274751201294,2021-04-13 16:34:22+00:00,183267,23213,Said hey to Stephen the other day   @StephenAtHome  @colbertlateshow https://t.co/AfM0o08MDd
Taylor Swift,1381716206865031168,2021-04-12 21:09:49+00:00,207770,22455,This is more than perfectly fine 😄 @amazonmusic https://t.co/buTDyt52RX https://t.co/BSn7TGH3Ts
Taylor Swift,1381706629486362624,2021-04-12 20:31:45+00:00,109107,13616,You can listen to That’s When (feat. @KeithUrban) and You All Over Me (feat. @MarenMorris) on the Today’s Country playlist on @AppleMusic! 💛 https://t.co/aHyZsfAQJY https://t.co/PY7qnJTKMl
Taylor Swift,1380375175661772800,2021-04-09 04:21:02+00:00,509563,115784,It was the night things changed. Fearless (Taylor’s Version) is out now: https://t.co/Sw5JzYR4cS https://t.co/SoJRNdPfho
Taylor Swift,1380178408529887236,2021-04-08 15:19:09+00:00,381709,66865,You ok? NO cause I sent my two kids @Olivia_Rodrigo and @conangray my new version of You Belong With Me and THEY ARE SO CUTE IT PHYSICALLY HURTS ME  ((Album out at midnight!)) https://t.co/yDJusP8TAs
Taylor Swift,1379783234242940930,2021-04-07 13:08:52+00:00,365884,66849,"Me in 2020: life is chill, writing songs based in fiction to avoid drama, feeling pretty grown up   My 2008 music from the vault, in a goblin voice: “REELEEEEEEASE MR PERFECTLY FIIIIIIINE”   https://t.co/PCexr31q9x"
Taylor Swift,1378377399667154948,2021-04-03 16:02:35+00:00,422362,83433,"You cracked the codes and guessed all the From The Vault titles. 👏👏👏 Here’s the full track list, my friends. https://t.co/lC3awlRmm2"
Taylor Swift,1378014758583025666,2021-04-02 16:01:35+00:00,249257,39709,The vault door is about to be as unhinged as you’ll think I am after you watch this video.  Level: Expert  Happy decoding! https://t.co/xBXBXGVcdb
Taylor Swift,1375299060119244801,2021-03-26 04:10:22+00:00,245138,48414,You All Over Me (feat. @MarenMorris) (From The Vault) and Love Story (Taylor’s Version) - Elvira Remix are out now because in this house we dance and cry at the SAME TIME 💛😭💃   https://t.co/LypMvvtRtZ https://t.co/VHwv61UNy4
Taylor Swift,1374709338665799680,2021-03-24 13:07:01+00:00,362270,67772,HI. I wanted to let you know that the first “From the Vault” song I’m releasing from Fearless (Taylor’s Version) comes out tomorrow at midnight eastern. It’s called You All Over Me (From The Vault). https://t.co/0GdNXHvPM0
Taylor Swift,1372201639168335874,2021-03-17 15:02:19+00:00,537257,68117,a marvelous time 🥲 https://t.co/V6e3NHVFml
Taylor Swift,1371311667892645888,2021-03-15 04:05:54+00:00,518732,96469,"The fans are the reason we’re floating tonight, and we’ll never forget it. https://t.co/njcuumt52u"
Taylor Swift,1366401657685245955,2021-03-01 14:55:16+00:00,681042,154413,"Hey Ginny &amp; Georgia, 2010 called and it wants its lazy, deeply sexist joke back. How about we stop degrading hard working women by defining this horse shit as FuNnY. Also, @netflix after Miss Americana this outfit doesn’t look cute on you 💔 Happy Women’s History Month I guess https://t.co/2X0jEOXIWp"
Taylor Swift,1365437047578783747,2021-02-26 23:02:15+00:00,295707,26261,I miss you terribly and can’t wait til we can all safely be at shows together again 💘 https://t.co/q3T23FCpMn
Taylor Swift,1365086295857508354,2021-02-25 23:48:29+00:00,207270,28438,YES!!! Fingers crossed and praying that the Senate will see trans and lgbtq rights as basic human rights. 🏳️‍⚧️🏳️‍🌈🇺🇸 https://t.co/Nb19UGXgY3
Taylor Swift,1362815522463748096,2021-02-19 17:25:15+00:00,296468,27956,The mood board for the gasoline remix is just this one photo https://t.co/G4ziCaPond
Taylor Swift,1362563255697301505,2021-02-19 00:42:50+00:00,199089,27417,Cancel the DNA test I’m the 4th Haim sister and this song is the only proof I need  #GasolineRemix https://t.co/GWwMxZEBsT
Taylor Swift,1360987111176892418,2021-02-14 16:19:47+00:00,854142,94145,"Hey guys so who’s gonna tell 18 year old me that our love story would still be going strong all these years later? 🥺 Thanks for the ways you fill my life with love 24/7, every damn day. Happy Valentines Day 💛 💛"
Taylor Swift,1360631252571873285,2021-02-13 16:45:44+00:00,139376,10691,💕🙏🙏 https://t.co/0oBYc85OQs
Taylor Swift,1360093736932429828,2021-02-12 05:09:50+00:00,432417,79658,My new version of Love Story (Taylor’s Version) is out now  💛💛 Get it instantly when you pre-order Fearless (Taylor’s Version)  https://t.co/NqBDS6cGFl https://t.co/KdHdZXnWbP
Taylor Swift,1359854050544615425,2021-02-11 13:17:25+00:00,677807,176094,I’m thrilled to tell you that my new version of Fearless (Taylor’s Version) is done and will be with you soon. It has 26 songs including 6 never before released songs from the vault. Love Story (Taylor’s Version) will be out tonight. Pre-order now at https://t.co/NqBDS6cGFl 💛💛 https://t.co/Vjyy2gA72O
Taylor Swift,1357196791062687745,2021-02-04 05:18:25+00:00,236494,24075,"In my mind all of the evermore and folklore album ladies are a part of the same universe, so I put them in a playlist together 💛💛 https://t.co/Z7XXO5aO5m https://t.co/nZuNusLFtb"
Taylor Swift,1354658220585922565,2021-01-28 05:11:02+00:00,191754,19672,the “forever is the sweetest con” chapter is out now 💛💛  https://t.co/pUCyQgU5Sg https://t.co/krn2QT4ooX
Taylor Swift,1352389498542428163,2021-01-21 22:55:57+00:00,198873,19685,A new album means new chapters ✨ the “dropped your hand while dancing” chapter is out now: https://t.co/cIOFqPxngy https://t.co/FtOPkB2cnR
Taylor Swift,1347544603730333697,2021-01-08 14:04:04+00:00,196627,22398,the evermore deluxe album with 2 bonus tracks “right where you left me” and “it’s time to go” is now available! https://t.co/IAAy6Yc1pD https://t.co/nLcCdDibce
Taylor Swift,1346562058653937680,2021-01-05 20:59:47+00:00,214573,20067,https://t.co/EXNfkj8ny5 https://t.co/lduq7I53eZ
Taylor Swift,1344667704372957190,2020-12-31 15:32:18+00:00,621229,72154,"bye 2020, it’s been weird. https://t.co/vQoZVSamkB"
Taylor Swift,1342918732486594560,2020-12-26 19:42:30+00:00,374655,30119,boxing day 📦 https://t.co/c6XADs4GZe
Taylor Swift,1341154037572509697,2020-12-21 22:50:14+00:00,297477,27127,Guys. Seriously. Thank you for doing this. https://t.co/CnqmuxXyuh
Taylor Swift,1340311964472520706,2020-12-19 15:04:08+00:00,168292,13821,"Everyone stream/buy McCartney III because it’s excellent but also because Paul is the kind of friend who steps in to help you when your boot is stuck. If not for him, it would still be on there. 👢😂 https://t.co/Mbz4t6sWwe"
Taylor Swift,1340061126013403137,2020-12-18 22:27:24+00:00,173927,14929,"Footage of evermore, folklore and lover hearing this news 😆🎉 https://t.co/mynirRgPSN https://t.co/707cacSeBL"
Taylor Swift,1339594259251380227,2020-12-17 15:32:14+00:00,114634,7713,"I’m a huge fan of these two already but seeing them create magic in the studio together just makes me even more excited to hear what they do in the future - absolutely love this, what a gift 🎁🥺🥰 https://t.co/hTTIhuM3pq"
Taylor Swift,1339229320934547456,2020-12-16 15:22:06+00:00,93642,8815,"My dad watched this interview and said ‘@zanelowe knows you maybe even better than you know yourself’. So while I spend years processing that possibility, here’s the video of our chat! https://t.co/mguXdYz4z4 @AppleMusic https://t.co/qdgtQ61EyI"
Taylor Swift,1339014864791089152,2020-12-16 01:09:56+00:00,147926,12934,Ever find yourself waiting for the signal &amp; meeting someone after dark &amp; happening upon a majestic coven in the woods? Me neither but do you want your 🎶 to make you FEEL like that? Then the “willow moonlit witch version” is for you. https://t.co/PW8GKyjmKR https://t.co/KiLB0OMfjf
Taylor Swift,1338922045195886594,2020-12-15 19:01:06+00:00,124049,10413,"One of my favorite parts of directing is the prep phase: writing a treatment, a shot list, &amp; working with an animator to storyboard it out ahead of time. Thanks to illustrator Vincent Lucido we check off shots as we go. See before &amp; after the willow video: https://t.co/Djf9bNT1Qs https://t.co/GZG80aZtVt"
Taylor Swift,1338854535217950720,2020-12-15 14:32:50+00:00,146513,11789,OMG folklore and evermore 😍 https://t.co/h0ijzmot8h https://t.co/sVNOBkf74t
Taylor Swift,1338718606885064705,2020-12-15 05:32:42+00:00,182421,17850,"Witches be like “Sometimes I just want to listen to music while pining away/sulking/staring out a window.” It’s me. I’m witches. Never fear, the “willow lonely witch remix” is here. 🔮 https://t.co/bJwRyvIOeM https://t.co/NtpYsohJds"
Taylor Swift,1338527612356923393,2020-12-14 16:53:46+00:00,161509,9260,https://t.co/3rEochZXRl https://t.co/kht0GAen9M
Taylor Swift,1338493091418935297,2020-12-14 14:36:35+00:00,115812,8624,"This is such a thoughtful tribute, not only to the song “Marjorie”, but to Marjorie herself. Thank you so much @robsheff 🥲 https://t.co/1Rb6Y2wUWO"
